lemma_id	lemma
1	können
2	sie
3	ihre
4	jugendzeit
5	beschreiben
6	ja
7	ich
8	wann
9	dass
10	geboren
11	bin
12	
13	es
14	am
15	sechsundzwanzigsten
16	januar
17	neunzehnhundertzwölf
18	und
19	zwar
20	in
21	wolfenschiessen
22	mein
23	vater
24	meine
25	mutter
26	sind
27	wolfenschiesser
28	bürger
29	gewesen
30	dann
31	mit
32	fünf
33	jahren
34	wir
35	nach
36	stans
37	gekommen
38	da
39	die
40	schule
41	sechs
42	jahre
43	hat
44	man
45	müssen
46	das
47	bündelchen
48	packen
49	sein
50	brot
51	verdienen
52	ist
53	zehnten
54	kind
55	gestorben
56	fünfzehn
57	jährig
58	wo
59	der
60	den
61	haushalt
62	aufgelöst
63	alle
64	kleinen
65	geschwister
66	zu
67	verwandten
68	zuerst
69	bei
70	meiner
71	sterbebett
72	weil
73	gerade
74	schon
75	in einer
76	stelle
77	hebamme
78	berichtet
79	schwer
80	muss
81	sterben
82	zwei
83	wochen
84	geburt
85	nachher
86	spital
87	habe
88	versprechen
89	e
90	kein
91	ins
92	waisenhaus
93	tuen
94	zusammenstehen
95	dem
96	helfen
97	für
98	kinder
99	zahlen
100	haben
101	versprochen
102	damals
103	fünfte
104	buben
105	danach
106	mädchen
107	wieder
108	ein
109	bub
110	gut
111	nicht
112	mehr
113	heim
114	einfach
115	aus
116	gan
117	heimgegeben
118	was
119	lohn
120	gehabt
121	zehn
122	franken
123	im
124	monat
125	kost
126	schlafen
127	meistersleute
128	dazumal
129	gegeben
130	drei
131	vier
132	noch
133	kostgeld
134	gezahlt
135	so
136	zeit
137	klein
138	weniger
139	geworden
140	auch
141	eine
142	andere
143	annehmen
144	er
145	auf einer
146	säge
147	geschafft
148	konnte
149	logis
150	seine
151	familie
152	alles
153	auseinandergekommen
154	tante
155	glaube
156	ein klein
157	organisiert
158	auf
159	fälle
160	abend
161	fort
162	sehr
163	schöne
164	sachen
165	gebracht
166	von
167	ihrer
168	mitgenommen
169	alte
170	komoden
171	schränkchen
172	tracht
173	getragen
174	achtzehnhundertsiebenundsiebzig
175	halt
176	viel
177	verloren
178	gegangen
179	gar
180	wissen
181	wo es
182	hin
183	neukirch
184	bei einem
185	grossen
186	bauern
187	als
188	melker
189	zuhause
190	bauernbub
191	bis
192	zwanzig
193	meinem
194	nie
195	einen
196	rappen
197	gesehen
198	stellen
199	haushaltstellen
200	also
201	gleich
202	jemand
203	weiss
204	wer
205	gesagt
206	solle
207	neuägeri
208	gehen
209	dort
210	sei
211	spinnerei
212	könne
213	schaffen
214	mädchenheim
215	von einer
216	klosterfrau
217	geleitet
218	essen
219	sagt
220	doch
221	herrlich
222	für ein
223	kummer
224	hätte
225	dürfen
226	fabrik
227	achtzehn
228	nehmen
229	dich
230	jetzt
231	aber
232	du
233	musst
234	sonntag
235	christenlehre
236	darfst
237	anmelden
238	sonst
239	merken
240	eben
241	jung
242	bist
243	mir
244	hat es
245	gefallen
246	machen
247	über
248	jüngste
249	wischen
250	dreck
251	einest
252	zum
253	direktor
254	kann
255	möchte
256	arbeit
257	etwas
258	bringe
259	müsse
260	minderjährige
261	an
262	freude
263	gelugt
264	maschine
265	mit einer
266	älteren
267	frauen
268	mich
269	wie
270	mütter
271	nachhingenommen
272	schön
273	verdient
274	glücklich
275	bleib
276	allmal
277	habe ich
278	bleibe
279	jahr
280	allweg
281	wenn man
282	bleibt
283	schlechter
284	charakter
285	wenigste
286	das man
287	sei es
288	oder
289	schlecht
290	haushaltung
291	gärtnerei
292	littau
293	zuletzt
294	bäckerei
295	monate
296	alt
297	geheiratet
298	haben wir
299	unsere
300	versorgt
301	etwa
302	genommen
303	ferien
304	geblieben
305	meinen
306	mann
307	gelernt
308	kennen
309	rozloch
310	schreinerei
311	roz
312	siebzehn
313	dreissig
314	zweiundzwanzig
315	tu
316	heiraten
317	sind wir
318	an einem
319	ort
320	daheim
321	sagen
322	heute
323	wenn
324	uns
325	kommen
326	schwester
327	ausgewandert
328	amerika
329	australien
330	denen
331	beiden
332	heimgekommen
333	nur
334	jünger
335	gestern
336	undachtzig
337	immer
338	kontakt
339	trotz
340	allem
341	zusammenhalten
342	einander
343	jüngster
344	bruder
345	achtjährig
346	fünfzig
347	zehnte
348	müsste
349	nicht mehr
350	rekrutenschule
351	hat das
352	geld
353	besuchen
354	der ist
355	später
356	weggis
357	tannenberg
358	onkel
359	knecht
360	schwinget
361	söhne
362	komm
363	kannst
364	mit uns
365	aufgesucht
366	morgen
367	sieben
368	zur
369	kirche
370	gedacht
371	das ist
372	einer
373	ganz
374	weissblonde
375	haare
376	jüngsten
377	heraus
378	viele
379	blonde
380	hinter
381	her
382	wo wir
383	haus
384	inhin
385	nachhingekommen
386	geläutet
387	gell
388	fast
389	wirklich
390	verteilt
391	körperkontakt
392	verheiratet
393	gespart
394	einmal
395	wollen
396	geschrieben
397	zahlen euch
398	reise
399	wenn ihr
400	kommt
401	lugen
402	wie wir es
403	urner
404	grosse
405	farm
406	sich
407	hochgearbeitet
408	anderen
409	mit einem
410	motel
411	miteinander
412	geführt
413	schenkelhals
414	gebrochen
415	geht ihr
416	ordentlich
417	schwestern
418	welchen
419	beide
420	muss ich
421	fünfundfünfzig
422	gleichen
423	welches
424	vor
425	sechsundvierzig
426	krieg
427	fall
428	kleine
429	keine
430	engen
431	jungen
432	diese
433	tochter
434	eltern
435	mou
436	welt
437	gross
438	erste
439	mal
440	durchhin
441	jesses
442	maria
443	erlebe
444	ob
445	existiert
446	unterägeri
447	menzigen
448	gekocht
449	in einem
450	internat
451	spazieren
452	zweien
453	hoch
454	mh
455	wäre
456	lieber
457	ergeben
458	genau
459	ware
460	watteform
461	auf eine
462	spule
463	worden
464	kleinere
465	de
466	fadenschlag
467	maschinen
468	gelaufen
469	glück
470	recht
471	lange
472	arme
473	um
474	umhin
475	probiert
